Size,Ascending,,,,Nearly Sorted,,,,Random,,,,Descending,,,
Size,QuickSort,QuickSort Median3,QuickSort Random,MergeSort,QuickSort,QuickSort Median3,QuickSort Random,MergeSort,QuickSort,QuickSort Median3,QuickSort Random,MergeSort,QuickSort,QuickSort Median3,QuickSort Random,MergeSort
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0.000001,0.000001,0.000002,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000002
4,0.000002,0.000002,0.000003,0.000004,0.000002,0.000002,0.000003,0.000004,0.000002,0.000002,0.000003,0.000004,0.000002,0.000002,0.000004,0.000004
8,0.000004,0.000005,0.000006,0.00001,0.000005,0.000005,0.000007,0.000011,0.000004,0.000005,0.000007,0.00001,0.000006,0.000005,0.000007,0.00001
16,0.00001,0.000012,0.000016,0.000024,0.000011,0.000013,0.000016,0.000024,0.00001,0.000013,0.000017,0.000026,0.000013,0.000014,0.000018,0.000024
32,0.000024,0.000027,0.000041,0.000055,0.000025,0.000028,0.00004,0.000057,0.00003,0.000033,0.00004,0.000061,0.000029,0.000036,0.000041,0.000056
64,0.000057,0.000063,0.000092,0.000125,0.000067,0.000066,0.000089,0.000134,0.000074,0.000075,0.000085,0.001241,0.000066,0.000085,0.000089,0.000126
128,0.000141,0.000153,0.000197,0.000279,0.000162,0.000158,0.000548,0.001077,0.000549,0.000442,0.000586,0.000315,0.000148,0.000215,0.000222,0.000282
256,0.000822,0.001683,0.001675,0.000616,0.000366,0.000477,0.001366,0.000667,0.000452,0.000375,0.000489,0.000715,0.000328,0.00052,0.000475,0.001745
512,0.000699,0.001423,0.00109,0.001392,0.000893,0.000939,0.001057,0.001509,0.001097,0.000885,0.001012,0.001583,0.000759,0.003494,0.001046,0.001422
1024,0.001606,0.001666,0.00231,0.003202,0.001988,0.001735,0.002254,0.003137,0.002051,0.001995,0.002179,0.003381,0.001712,0.003077,0.002346,0.003203
,,,,,,,,,,,,,,,,
"QuickSort is generally the fastest (with random pivot id). MergeSort is stable O(n log n) though it is  slightly behind a well-pivoted QuickSort
-> For big inputs use QuickSort (median-of-three/random) or MergeSort; use Insertion Sort only for very small or nearly sorted arrays; avoid Selection and Bubble.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
